thingId;G;F;D
28945;0.38;0.51;0.75
28946;0.46;0.61;0.75
28947;0.29;0.39;0.75
28948;0.35;0.5;0.71
28949;0.4;0.6;0.67
28950;0.39;0.51;0.76
28951;0.32;0.5;0.64
28952;0.34;0.48;0.72
28953;0.48;0.61;0.8
28954;0.45;0.56;0.8
28955;0.37;0.52;0.71
28956;0.31;0.39;0.8
28957;0.38;0.48;0.79
28958;0.92;0.92;1.0
28959;0.92;0.92;1.0
28960;0.92;0.92;1.0
28961;0.91;0.91;1.0
28962;0.92;0.92;1.0
28963;0.92;0.92;1.0
28964;0.92;0.92;1.0
28965;0.34;0.34;1.0
28966;0.47;0.47;1.0
28967;0.48;0.48;1.0
28968;0.52;0.52;1.0
28969;0.41;0.41;1.0
28970;0.55;0.55;1.0
28971;0.45;0.45;1.0
28972;0.63;0.63;1.0
28973;0.43;0.43;1.0
28974;0.45;0.45;1.0
28975;0.53;0.53;1.0
28976;0.42;0.42;1.0
28977;0.48;0.48;1.0
28978;0.47;0.47;1.0
28979;0.28;0.28;1.0
28980;0.4;0.4;1.0
28981;0.51;0.51;1.0
28982;0.47;0.47;1.0
28983;0.48;0.48;1.0
28984;0.52;0.52;1.0
28985;0.37;0.37;1.0
28986;0.45;0.45;1.0
28987;0.43;0.43;1.0
28938;0.82;0.91;0.9
28939;0.79;0.91;0.87
28940;0.83;0.91;0.91
28941;0.84;0.91;0.92
28942;0.84;0.91;0.93
28943;0.41;0.47;0.87
28944;0.42;0.47;0.89
28945;0.43;0.48;0.9
28946;0.4;0.45;0.89
28947;0.51;0.54;0.95
28948;0.44;0.49;0.91
28949;0.45;0.49;0.92
28950;0.4;0.45;0.89
28951;0.42;0.47;0.89
28952;0.41;0.47;0.88
28953;0.43;0.48;0.89
28954;0.47;0.53;0.89
28955;0.46;0.5;0.91
28956;0.38;0.41;0.92
28957;0.48;0.53;0.91
28958;0.91;0.91;1.0
28959;0.91;0.91;1.0
28960;0.91;0.91;1.0
28961;0.91;0.91;1.0
28962;0.9;0.9;1.0
28963;0.91;0.91;1.0
28964;0.91;0.91;1.0
28965;0.42;0.42;1.0
28966;0.48;0.48;1.0
28967;0.46;0.46;1.0
28968;0.48;0.48;1.0
28969;0.42;0.42;1.0
28970;0.45;0.45;1.0
28971;0.49;0.49;1.0
28972;0.47;0.47;1.0
28973;0.51;0.51;1.0
28974;0.43;0.43;1.0
28975;0.49;0.49;1.0
28976;0.47;0.47;1.0
28977;0.5;0.5;1.0
28978;0.41;0.41;1.0
28979;0.45;0.45;1.0
28980;0.39;0.39;1.0
28981;0.43;0.43;1.0
28982;0.48;0.48;1.0
28983;0.51;0.51;1.0
28984;0.4;0.4;1.0
28985;0.36;0.36;1.0
28986;0.43;0.43;1.0
28987;0.4;0.4;1.0
28938;0.86;0.91;0.95
28939;0.86;0.91;0.95
28940;0.87;0.9;0.96
28941;0.87;0.9;0.96
28942;0.87;0.9;0.96
28943;0.41;0.44;0.94
28944;0.44;0.45;0.96
28945;0.44;0.46;0.95
28946;0.43;0.45;0.96
28947;0.48;0.5;0.97
28948;0.48;0.5;0.95
28949;0.43;0.46;0.95
28950;0.44;0.46;0.96
28951;0.45;0.47;0.96
